CPValue	Delta T

-10	100
0.0312989	1.5674
0.0625978	1.5674
0.0938967	1.5674
0.125196	1.5674
0.156495	1.5674
0.187793	1.5674
0.219092	1.5674
0.250391	1.5674
0.28169	1.5674
0.312989	1.5674
0.344288	1.5674
0.375587	1.5674
0.406886	1.5674
0.438185	1.5674
0.469484	1.5674
0.500782	1.5674
0.532081	1.5674
0.56338	1.5674
0.594679	1.5674
0.625978	1.5674
0.657277	1.5674
0.688576	1.5674
0.719875	1.5674
0.751174	1.5674
0.782473	1.5674
0.813772	1.5674
0.84507	1.5674
0.876369	1.5674
0.907668	1.5674
0.938967	1.5674
0.970266	1.5674
1.00156	1.5674
1.03286	1.5674
1.06416	1.5674
1.09546	1.5674
1.12676	1.5674
1.15806	1.5674
1.18936	1.5674
1.22066	1.5674
1.25196	1.5674
1.28326	1.5674
1.31455	1.5674
1.34585	1.5674
1.37715	1.5674
1.40845	1.5674
1.43975	1.5674
1.47105	1.5674
1.50235	1.5674
1.53365	1.5674
1.56495	1.5674
1.59624	1.5674
1.62754	1.5674
1.65884	1.5674
1.69014	1.5674
1.72144	1.5674
1.75274	1.5674
1.78404	1.5674
1.81534	1.5674
1.84664	1.5674
1.87793	1.5674
1.90923	1.5674
1.94053	1.5674
1.97183	1.5674
2.00313	1.5674
2.03443	1.5674
2.06573	1.5674
2.09703	1.5674
2.12833	1.5674
2.15962	1.5674
2.19092	1.5674
2.22222	1.5674
2.25352	1.5674
2.28482	1.5674
2.31612	1.5674
2.34742	1.5674
2.37872	1.5674
2.41002	1.5674
2.44131	1.5674
2.47261	1.5674
2.50391	1.5674
2.53521	1.5674
2.56651	1.5674
2.59781	1.5674
2.62911	1.5674
2.66041	1.5674
2.69171	1.5674
2.723	1.5674
2.7543	1.5674
2.7856	1.5674
2.8169	1.5674
2.8482	1.5674
2.8795	1.5674
2.9108	1.5674
2.9421	1.5674
2.9734	1.5674
3.00469	1.5674
3.03599	1.5674
3.06729	1.5674
3.09859	1.5674
3.12989	1.5674
3.16119	1.5674
3.19249	1.5674
3.22379	1.5674
3.25509	1.5674
3.28638	1.5674
3.31768	1.5674
3.34898	1.5674
3.38028	1.5674
3.41158	1.5674
3.44288	1.5674
3.47418	1.5674
3.50548	1.5674
3.53678	1.5674
3.56808	1.5674
3.59937	1.5674
3.63067	1.5674
3.66197	1.5674
3.69327	1.5674
3.72457	1.5674
3.75587	1.5674
3.78717	1.5674
3.81847	1.5674
3.84977	1.5674
3.88106	1.5674
3.91236	1.5674
3.94366	1.5674
3.97496	1.5674
4.00626	1.5674
4.03756	1.5674
4.06886	1.5674
4.10016	1.5674
4.13146	1.5674
4.16275	1.5674
4.19405	1.5674
4.22535	1.5674
4.25665	1.5674
4.28795	1.5674
4.31925	1.5674
4.35055	1.5674
4.38185	1.5674
4.41315	1.5674
4.44444	1.5674
4.47574	1.5674
4.50704	1.5674
4.53834	1.5674
4.56964	1.5674
4.60094	1.5674
4.63224	1.5674
4.66354	1.5674
4.69484	1.5674
4.72613	1.5674
4.75743	1.5674
4.78873	1.5674
4.82003	1.5674
4.85133	1.5674
4.88263	1.5674
