CPValue	Delta T

-10	100
0.0312989	0.0015674
0.0625978	0.0015674
0.0938967	0.0015674
0.125196	0.0015674
0.156495	0.0015674
0.187793	0.0015674
0.219092	0.0015674
0.250391	0.0015674
0.28169	0.0015674
0.312989	0.0015674
0.344288	0.0015674
0.375587	0.0015674
0.406886	0.0015674
0.438185	0.0015674
0.469484	0.0015674
0.500782	0.0015674
0.532081	0.0015674
0.56338	0.0015674
0.594679	0.0015674
0.625978	0.0015674
0.657277	0.0015674
0.688576	0.0015674
0.719875	0.0015674
0.751174	0.0015674
0.782473	0.0015674
0.813772	0.0015674
0.84507	0.0015674
0.876369	0.0015674
0.907668	0.0015674
0.938967	0.0015674
0.970266	0.0015674
1.00156	0.0015674
1.03286	0.0015674
1.06416	0.0015674
1.09546	0.0015674
1.12676	0.0015674
1.15806	0.0015674
1.18936	0.0015674
1.22066	0.0015674
1.25196	0.0015674
1.28326	0.0015674
1.31455	0.0015674
1.34585	0.0015674
1.37715	0.0015674
1.40845	0.0015674
1.43975	0.0015674
1.47105	0.0015674
1.50235	0.0015674
1.53365	0.0015674
1.56495	0.0015674
1.59624	0.0015674
1.62754	0.0015674
1.65884	0.0015674
1.69014	0.0015674
1.72144	0.0015674
1.75274	0.0015674
1.78404	0.0015674
1.81534	0.0015674
1.84664	0.0015674
1.87793	0.0015674
1.90923	0.0015674
1.94053	0.0015674
1.97183	0.0015674
2.00313	0.0015674
2.03443	0.0015674
2.06573	0.0015674
2.09703	0.0015674
2.12833	0.0015674
2.15962	0.0015674
2.19092	0.0015674
2.22222	0.0015674
2.25352	0.0015674
2.28482	0.0015674
2.31612	0.0015674
2.34742	0.0015674
2.37872	0.0015674
2.41002	0.0015674
2.44131	0.0015674
2.47261	0.0015674
2.50391	0.0015674
2.53521	0.0015674
2.56651	0.0015674
2.59781	0.0015674
2.62911	0.0015674
2.66041	0.0015674
2.69171	0.0015674
2.723	0.0015674
2.7543	0.0015674
2.7856	0.0015674
2.8169	0.0015674
2.8482	0.0015674
2.8795	0.0015674
2.9108	0.0015674
2.9421	0.0015674
2.9734	0.0015674
3.00469	0.0015674
3.03599	0.0015674
3.06729	0.0015674
3.09859	0.0015674
3.12989	0.0015674
3.16119	0.0015674
3.19249	0.0015674
3.22379	0.0015674
3.25509	0.0015674
3.28638	0.0015674
3.31768	0.0015674
3.34898	0.0015674
3.38028	0.0015674
3.41158	0.0015674
3.44288	0.0015674
3.47418	0.0015674
3.50548	0.0015674
3.53678	0.0015674
3.56808	0.0015674
3.59937	0.0015674
3.63067	0.0015674
3.66197	0.0015674
3.69327	0.0015674
3.72457	0.0015674
3.75587	0.0015674
3.78717	0.0015674
3.81847	0.0015674
3.84977	0.0015674
3.88106	0.0015674
3.91236	0.0015674
3.94366	0.0015674
3.97496	0.0015674
4.00626	0.0015674
4.03756	0.0015674
4.06886	0.0015674
4.10016	0.0015674
4.13146	0.0015674
4.16275	0.0015674
4.19405	0.0015674
4.22535	0.0015674
4.25665	0.0015674
4.28795	0.0015674
4.31925	0.0015674
4.35055	0.0015674
4.38185	0.0015674
4.41315	0.0015674
