CPValue	Delta T

-10	100
0.0312989	15.674
0.0625978	15.674
0.0938967	15.674
0.125196	15.674
0.156495	15.674
0.187793	15.674
0.219092	15.674
0.250391	15.674
0.28169	15.674
0.312989	15.674
0.344288	15.674
0.375587	15.674
0.406886	15.674
0.438185	15.674
0.469484	15.674
0.500782	15.674
0.532081	15.674
0.56338	15.674
0.594679	15.674
0.625978	15.674
0.657277	15.674
0.688576	15.674
0.719875	15.674
0.751174	15.674
0.782473	15.674
0.813772	15.674
0.84507	15.674
0.876369	15.674
0.907668	15.674
0.938967	15.674
0.970266	15.674
1.00156	15.674
1.03286	15.674
1.06416	15.674
1.09546	15.674
1.12676	15.674
1.15806	15.674
1.18936	15.674
1.22066	15.674
1.25196	15.674
1.28326	15.674
1.31455	15.674
1.34585	15.674
1.37715	15.674
1.40845	15.674
1.43975	15.674
1.47105	15.674
1.50235	15.674
1.53365	15.674
1.56495	15.674
1.59624	15.674
1.62754	15.674
1.65884	15.674
1.69014	15.674
1.72144	15.674
1.75274	15.674
1.78404	15.674
1.81534	15.674
1.84664	15.674
1.87793	15.674
1.90923	15.674
1.94053	15.674
1.97183	15.674
2.00313	15.674
2.03443	15.674
2.06573	15.674
2.09703	15.674
2.12833	15.674
2.15962	15.674
2.19092	15.674
2.22222	15.674
2.25352	15.674
2.28482	15.674
2.31612	15.674
2.34742	15.674
2.37872	15.674
2.41002	15.674
2.44131	15.674
2.47261	15.674
2.50391	15.674
2.53521	15.674
2.56651	15.674
2.59781	15.674
2.62911	15.674
2.66041	15.674
2.69171	15.674
2.723	15.674
2.7543	15.674
2.7856	15.674
2.8169	15.674
2.8482	15.674
2.8795	15.674
2.9108	15.674
2.9421	15.674
2.9734	15.674
3.00469	15.674
3.03599	15.674
3.06729	15.674
3.09859	15.674
3.12989	15.674
3.16119	15.674
3.19249	15.674
3.22379	15.674
3.25509	15.674
3.28638	15.674
3.31768	15.674
3.34898	15.674
3.38028	15.674
3.41158	15.674
3.44288	15.674
3.47418	15.674
3.50548	15.674
3.53678	15.674
3.56808	15.674
3.59937	15.674
3.63067	15.674
3.66197	15.674
3.69327	15.674
3.72457	15.674
3.75587	15.674
3.78717	15.674
3.81847	15.674
3.84977	15.674
3.88106	15.674
3.91236	15.674
3.94366	15.674
3.97496	15.674
4.00626	15.674
4.03756	15.674
4.06886	15.674
4.10016	15.674
4.13146	15.674
4.16275	15.674
4.19405	15.674
4.22535	15.674
4.25665	15.674
4.28795	15.674
4.31925	15.674
4.35055	15.674
4.38185	15.674
4.41315	15.674
4.44444	15.674
4.47574	15.674
4.50704	15.674
4.53834	15.674
4.56964	15.674
4.60094	15.674
4.63224	15.674
4.66354	15.674
4.69484	15.674
4.72613	15.674
4.75743	15.674
4.78873	15.674
4.82003	15.674
4.85133	15.674
4.88263	15.674
4.91393	15.674
4.94523	15.674
4.97653	15.674
5.00782	15.674
5.03912	15.674
5.07042	15.674
5.10172	15.674
5.13302	15.674
5.16432	15.674
5.19562	15.674
5.22692	15.674
5.25822	15.674
5.28951	15.674
5.32081	15.674
5.35211	15.674
5.38341	15.674
5.41471	15.674
