CPValue	Delta T

-10	100
0.253165	0.128205
0.506329	0.128205
0.759494	0.128205
1.01266	0.128205
1.26582	0.128205
1.51899	0.128205
1.77215	0.128205
2.02532	0.128205
2.27848	0.128205
2.53165	0.128205
2.78481	0.128205
3.03797	0.128205
3.29114	0.128205
3.5443	0.128205
3.79747	0.128205
4.05063	0.128205
4.3038	0.128205
4.55696	0.128205
4.81013	0.128205
5.06329	0.128205
5.31646	0.128205
5.56962	0.128205
5.82278	0.128205
6.07595	0.128205
6.32911	0.128205
6.58228	0.128205
6.83544	0.128205
7.08861	0.128205
7.34177	0.128205
7.59494	0.128205
7.8481	0.128205
8.10127	0.128205
8.35443	0.128205
8.60759	0.128205
8.86076	0.128205
9.11392	0.128205
9.36709	0.128205
9.62025	0.128205
9.87342	0.128205
10.1266	0.128205
10.3797	0.128205
10.6329	0.128205
10.8861	0.128205
11.1392	0.128205
11.3924	0.128205
11.6456	0.128205
11.8987	0.128205
12.1519	0.128205
12.4051	0.128205
12.6582	0.128205
12.9114	0.128205
13.1646	0.128205
13.4177	0.128205
13.6709	0.128205
13.9241	0.128205
14.1772	0.128205
14.4304	0.128205
14.6835	0.128205
14.9367	0.128205
15.1899	0.128205
15.443	0.128205
15.6962	0.128205
15.9494	0.128205
16.2025	0.128205
16.4557	0.128205
16.7089	0.128205
16.962	0.128205
17.2152	0.128205
17.4684	0.128205
17.7215	0.128205
17.9747	0.128205
18.2278	0.128205
18.481	0.128205
18.7342	0.128205
18.9873	0.128205
19.2405	0.128205
19.4937	0.128205
19.7468	0.128205
20	100
