CPValue	Delta T

-10	100
0.0626959	3.14465
0.125392	3.14465
0.188088	3.14465
0.250784	3.14465
0.31348	3.14465
0.376176	3.14465
0.438871	3.14465
0.501567	3.14465
0.564263	3.14465
0.626959	3.14465
0.689655	3.14465
0.752351	3.14465
0.815047	3.14465
0.877743	3.14465
0.940439	3.14465
1.00313	3.14465
1.06583	3.14465
1.12853	3.14465
1.19122	3.14465
1.25392	3.14465
1.31661	3.14465
1.37931	3.14465
1.44201	3.14465
1.5047	3.14465
1.5674	3.14465
1.63009	3.14465
1.69279	3.14465
1.75549	3.14465
1.81818	3.14465
1.88088	3.14465
1.94357	3.14465
2.00627	3.14465
2.06897	3.14465
2.13166	3.14465
2.19436	3.14465
2.25705	3.14465
2.31975	3.14465
2.38245	3.14465
2.44514	3.14465
2.50784	3.14465
2.57053	3.14465
2.63323	3.14465
2.69592	3.14465
2.75862	3.14465
2.82132	3.14465
2.88401	3.14465
2.94671	3.14465
3.0094	3.14465
3.0721	3.14465
3.1348	3.14465
3.19749	3.14465
3.26019	3.14465
3.32288	3.14465
3.38558	3.14465
3.44828	3.14465
3.51097	3.14465
3.57367	3.14465
3.63636	3.14465
3.69906	3.14465
3.76176	3.14465
3.82445	3.14465
3.88715	3.14465
3.94984	3.14465
4.01254	3.14465
4.07524	3.14465
4.13793	3.14465
4.20063	3.14465
4.26332	3.14465
4.32602	3.14465
4.38871	3.14465
4.45141	3.14465
4.51411	3.14465
4.5768	3.14465
4.6395	3.14465
4.70219	3.14465
4.76489	3.14465
4.82759	3.14465
4.89028	3.14465
4.95298	3.14465
5.01567	3.14465
5.07837	3.14465
5.14107	3.14465
5.20376	3.14465
5.26646	3.14465
5.32915	3.14465
5.39185	3.14465
5.45455	3.14465
5.51724	3.14465
5.57994	3.14465
5.64263	3.14465
5.70533	3.14465
5.76803	3.14465
5.83072	3.14465
5.89342	3.14465
5.95611	3.14465
6.01881	3.14465
6.0815	3.14465
6.1442	3.14465
6.2069	3.14465
6.26959	3.14465
6.33229	3.14465
6.39498	3.14465
6.45768	3.14465
6.52038	3.14465
6.58307	3.14465
6.64577	3.14465
6.70846	3.14465
6.77116	3.14465
6.83386	3.14465
6.89655	3.14465
6.95925	3.14465
7.02194	3.14465
7.08464	3.14465
7.14734	3.14465
7.21003	3.14465
7.27273	3.14465
7.33542	3.14465
7.39812	3.14465
7.46082	3.14465
7.52351	3.14465
7.58621	3.14465
7.6489	3.14465
7.7116	3.14465
7.77429	3.14465
7.83699	3.14465
7.89969	3.14465
7.96238	3.14465
8.02508	3.14465
8.08777	3.14465
8.15047	3.14465
8.21317	3.14465
8.27586	3.14465
8.33856	3.14465
8.40125	3.14465
8.46395	3.14465
8.52665	3.14465
8.58934	3.14465
8.65204	3.14465
8.71473	3.14465
8.77743	3.14465
8.84013	3.14465
8.90282	3.14465
8.96552	3.14465
9.02821	3.14465
9.09091	3.14465
9.15361	3.14465
9.2163	3.14465
9.279	3.14465
9.34169	3.14465
9.40439	3.14465
9.46708	3.14465
9.52978	3.14465
9.59248	3.14465
9.65517	3.14465
9.71787	3.14465
9.78056	3.14465
