CPValue	Delta T

-10	100
0.253165	12.8205
0.506329	12.8205
0.759494	12.8205
1.01266	12.8205
1.26582	12.8205
1.51899	12.8205
1.77215	12.8205
2.02532	12.8205
2.27848	12.8205
2.53165	12.8205
2.78481	12.8205
3.03797	12.8205
3.29114	12.8205
3.5443	12.8205
3.79747	12.8205
4.05063	12.8205
4.3038	12.8205
4.55696	12.8205
4.81013	12.8205
5.06329	12.8205
5.31646	12.8205
5.56962	12.8205
5.82278	12.8205
6.07595	12.8205
6.32911	12.8205
6.58228	12.8205
6.83544	12.8205
7.08861	12.8205
7.34177	12.8205
7.59494	12.8205
7.8481	12.8205
8.10127	12.8205
8.35443	12.8205
8.60759	12.8205
8.86076	12.8205
9.11392	12.8205
9.36709	12.8205
9.62025	12.8205
9.87342	12.8205
10.1266	12.8205
10.3797	12.8205
10.6329	12.8205
10.8861	12.8205
11.1392	12.8205
11.3924	12.8205
11.6456	12.8205
11.8987	12.8205
12.1519	12.8205
12.4051	12.8205
12.6582	12.8205
12.9114	12.8205
13.1646	12.8205
13.4177	12.8205
13.6709	12.8205
13.9241	12.8205
14.1772	12.8205
14.4304	12.8205
14.6835	12.8205
14.9367	12.8205
15.1899	12.8205
15.443	12.8205
15.6962	12.8205
15.9494	12.8205
16.2025	12.8205
16.4557	12.8205
16.7089	12.8205
16.962	12.8205
17.2152	12.8205
17.4684	12.8205
17.7215	12.8205
17.9747	12.8205
18.2278	12.8205
18.481	12.8205
18.7342	12.8205
18.9873	12.8205
19.2405	12.8205
19.4937	12.8205
19.7468	12.8205
20	100
