CPValue	Delta T

-10	100
0.0312989	156.74
0.0625978	156.74
0.0938967	156.74
0.125196	156.74
0.156495	156.74
0.187793	156.74
0.219092	156.74
0.250391	156.74
0.28169	156.74
0.312989	156.74
0.344288	156.74
0.375587	156.74
0.406886	156.74
0.438185	156.74
0.469484	156.74
0.500782	156.74
0.532081	156.74
0.56338	156.74
0.594679	156.74
0.625978	156.74
0.657277	156.74
0.688576	156.74
0.719875	156.74
0.751174	156.74
0.782473	156.74
0.813772	156.74
0.84507	156.74
0.876369	156.74
0.907668	156.74
0.938967	156.74
0.970266	156.74
1.00156	156.74
1.03286	156.74
1.06416	156.74
1.09546	156.74
1.12676	156.74
1.15806	156.74
1.18936	156.74
1.22066	156.74
1.25196	156.74
1.28326	156.74
1.31455	156.74
1.34585	156.74
1.37715	156.74
1.40845	156.74
1.43975	156.74
1.47105	156.74
1.50235	156.74
1.53365	156.74
1.56495	156.74
1.59624	156.74
1.62754	156.74
1.65884	156.74
1.69014	156.74
1.72144	156.74
1.75274	156.74
1.78404	156.74
1.81534	156.74
1.84664	156.74
1.87793	156.74
1.90923	156.74
1.94053	156.74
1.97183	156.74
2.00313	156.74
2.03443	156.74
2.06573	156.74
2.09703	156.74
2.12833	156.74
2.15962	156.74
2.19092	156.74
2.22222	156.74
2.25352	156.74
2.28482	156.74
2.31612	156.74
2.34742	156.74
2.37872	156.74
2.41002	156.74
2.44131	156.74
2.47261	156.74
2.50391	156.74
2.53521	156.74
2.56651	156.74
2.59781	156.74
2.62911	156.74
2.66041	156.74
2.69171	156.74
2.723	156.74
2.7543	156.74
2.7856	156.74
2.8169	156.74
2.8482	156.74
2.8795	156.74
2.9108	156.74
2.9421	156.74
2.9734	156.74
3.00469	156.74
3.03599	156.74
3.06729	156.74
3.09859	156.74
3.12989	156.74
3.16119	156.74
3.19249	156.74
3.22379	156.74
3.25509	156.74
3.28638	156.74
3.31768	156.74
3.34898	156.74
3.38028	156.74
3.41158	156.74
3.44288	156.74
3.47418	156.74
3.50548	156.74
3.53678	156.74
3.56808	156.74
3.59937	156.74
3.63067	156.74
3.66197	156.74
3.69327	156.74
3.72457	156.74
3.75587	156.74
3.78717	156.74
3.81847	156.74
3.84977	156.74
3.88106	156.74
3.91236	156.74
3.94366	156.74
3.97496	156.74
4.00626	156.74
4.03756	156.74
4.06886	156.74
4.10016	156.74
4.13146	156.74
4.16275	156.74
4.19405	156.74
4.22535	156.74
4.25665	156.74
4.28795	156.74
4.31925	156.74
4.35055	156.74
4.38185	156.74
4.41315	156.74
4.44444	156.74
4.47574	156.74
4.50704	156.74
4.53834	156.74
4.56964	156.74
4.60094	156.74
4.63224	156.74
4.66354	156.74
4.69484	156.74
4.72613	156.74
4.75743	156.74
4.78873	156.74
4.82003	156.74
4.85133	156.74
4.88263	156.74
4.91393	156.74
4.94523	156.74
4.97653	156.74
5.00782	156.74
5.03912	156.74
5.07042	156.74
5.10172	156.74
5.13302	156.74
5.16432	156.74
5.19562	156.74
5.22692	156.74
5.25822	156.74
5.28951	156.74
5.32081	156.74
5.35211	156.74
5.38341	156.74
5.41471	156.74
