CPValue	Delta T

-10	100
0.253165	1282.05
0.506329	1282.05
0.759494	1282.05
1.01266	1282.05
1.26582	1282.05
1.51899	1282.05
1.77215	1282.05
2.02532	1282.05
2.27848	1282.05
2.53165	1282.05
2.78481	1282.05
3.03797	1282.05
3.29114	1282.05
3.5443	1282.05
3.79747	1282.05
4.05063	1282.05
4.3038	1282.05
4.55696	1282.05
4.81013	1282.05
5.06329	1282.05
5.31646	1282.05
5.56962	1282.05
5.82278	1282.05
6.07595	1282.05
6.32911	1282.05
6.58228	1282.05
6.83544	1282.05
7.08861	1282.05
7.34177	1282.05
7.59494	1282.05
7.8481	1282.05
8.10127	1282.05
8.35443	1282.05
8.60759	1282.05
8.86076	1282.05
9.11392	1282.05
9.36709	1282.05
9.62025	1282.05
9.87342	1282.05
10.1266	1282.05
10.3797	1282.05
10.6329	1282.05
10.8861	1282.05
11.1392	1282.05
11.3924	1282.05
11.6456	1282.05
11.8987	1282.05
12.1519	1282.05
12.4051	1282.05
12.6582	1282.05
12.9114	1282.05
13.1646	1282.05
13.4177	1282.05
13.6709	1282.05
13.9241	1282.05
14.1772	1282.05
14.4304	1282.05
14.6835	1282.05
14.9367	1282.05
15.1899	1282.05
15.443	1282.05
15.6962	1282.05
15.9494	1282.05
16.2025	1282.05
16.4557	1282.05
16.7089	1282.05
16.962	1282.05
17.2152	1282.05
17.4684	1282.05
17.7215	1282.05
17.9747	1282.05
18.2278	1282.05
18.481	1282.05
18.7342	1282.05
18.9873	1282.05
19.2405	1282.05
19.4937	1282.05
19.7468	1282.05
20	100
