CPValue	Delta T

-10	100
0.0156372	0.0782473
0.0312744	0.0782473
0.0469116	0.0782473
0.0625489	0.0782473
0.0781861	0.0782473
0.0938233	0.0782473
0.109461	0.0782473
0.125098	0.0782473
0.140735	0.0782473
0.156372	0.0782473
0.172009	0.0782473
0.187647	0.0782473
0.203284	0.0782473
0.218921	0.0782473
0.234558	0.0782473
0.250195	0.0782473
0.265833	0.0782473
0.28147	0.0782473
0.297107	0.0782473
0.312744	0.0782473
0.328382	0.0782473
0.344019	0.0782473
0.359656	0.0782473
0.375293	0.0782473
0.39093	0.0782473
0.406568	0.0782473
0.422205	0.0782473
0.437842	0.0782473
0.453479	0.0782473
0.469116	0.0782473
0.484754	0.0782473
0.500391	0.0782473
0.516028	0.0782473
0.531665	0.0782473
0.547303	0.0782473
0.56294	0.0782473
0.578577	0.0782473
0.594214	0.0782473
0.609851	0.0782473
0.625489	0.0782473
0.641126	0.0782473
0.656763	0.0782473
0.6724	0.0782473
0.688038	0.0782473
0.703675	0.0782473
0.719312	0.0782473
0.734949	0.0782473
0.750586	0.0782473
0.766224	0.0782473
0.781861	0.0782473
0.797498	0.0782473
0.813135	0.0782473
0.828772	0.0782473
0.84441	0.0782473
0.860047	0.0782473
0.875684	0.0782473
0.891321	0.0782473
0.906959	0.0782473
0.922596	0.0782473
0.938233	0.0782473
0.95387	0.0782473
0.969507	0.0782473
0.985145	0.0782473
1.00078	0.0782473
1.01642	0.0782473
1.03206	0.0782473
1.04769	0.0782473
1.06333	0.0782473
1.07897	0.0782473
1.09461	0.0782473
1.11024	0.0782473
1.12588	0.0782473
1.14152	0.0782473
1.15715	0.0782473
1.17279	0.0782473
1.18843	0.0782473
1.20407	0.0782473
1.2197	0.0782473
1.23534	0.0782473
1.25098	0.0782473
1.26661	0.0782473
1.28225	0.0782473
1.29789	0.0782473
1.31353	0.0782473
1.32916	0.0782473
1.3448	0.0782473
1.36044	0.0782473
1.37608	0.0782473
1.39171	0.0782473
1.40735	0.0782473
1.42299	0.0782473
1.43862	0.0782473
1.45426	0.0782473
1.4699	0.0782473
1.48554	0.0782473
1.50117	0.0782473
1.51681	0.0782473
1.53245	0.0782473
1.54808	0.0782473
1.56372	0.0782473
1.57936	0.0782473
1.595	0.0782473
1.61063	0.0782473
1.62627	0.0782473
1.64191	0.0782473
1.65754	0.0782473
1.67318	0.0782473
1.68882	0.0782473
1.70446	0.0782473
1.72009	0.0782473
1.73573	0.0782473
1.75137	0.0782473
1.76701	0.0782473
1.78264	0.0782473
1.79828	0.0782473
1.81392	0.0782473
1.82955	0.0782473
1.84519	0.0782473
1.86083	0.0782473
1.87647	0.0782473
1.8921	0.0782473
1.90774	0.0782473
1.92338	0.0782473
1.93901	0.0782473
1.95465	0.0782473
1.97029	0.0782473
1.98593	0.0782473
2.00156	0.0782473
2.0172	0.0782473
2.03284	0.0782473
2.04848	0.0782473
2.06411	0.0782473
2.07975	0.0782473
2.09539	0.0782473
2.11102	0.0782473
2.12666	0.0782473
2.1423	0.0782473
2.15794	0.0782473
2.17357	0.0782473
2.18921	0.0782473
2.20485	0.0782473
