CPValue	Delta T

-10	100
0.253165	1.28205
0.506329	1.28205
0.759494	1.28205
1.01266	1.28205
1.26582	1.28205
1.51899	1.28205
1.77215	1.28205
2.02532	1.28205
2.27848	1.28205
2.53165	1.28205
2.78481	1.28205
3.03797	1.28205
3.29114	1.28205
3.5443	1.28205
3.79747	1.28205
4.05063	1.28205
4.3038	1.28205
4.55696	1.28205
4.81013	1.28205
5.06329	1.28205
5.31646	1.28205
5.56962	1.28205
5.82278	1.28205
6.07595	1.28205
6.32911	1.28205
6.58228	1.28205
6.83544	1.28205
7.08861	1.28205
7.34177	1.28205
7.59494	1.28205
7.8481	1.28205
8.10127	1.28205
8.35443	1.28205
8.60759	1.28205
8.86076	1.28205
9.11392	1.28205
9.36709	1.28205
9.62025	1.28205
9.87342	1.28205
10.1266	1.28205
10.3797	1.28205
10.6329	1.28205
10.8861	1.28205
11.1392	1.28205
11.3924	1.28205
11.6456	1.28205
11.8987	1.28205
12.1519	1.28205
12.4051	1.28205
12.6582	1.28205
12.9114	1.28205
13.1646	1.28205
13.4177	1.28205
13.6709	1.28205
13.9241	1.28205
14.1772	1.28205
14.4304	1.28205
14.6835	1.28205
14.9367	1.28205
15.1899	1.28205
15.443	1.28205
15.6962	1.28205
15.9494	1.28205
16.2025	1.28205
16.4557	1.28205
16.7089	1.28205
16.962	1.28205
17.2152	1.28205
17.4684	1.28205
17.7215	1.28205
17.9747	1.28205
18.2278	1.28205
18.481	1.28205
18.7342	1.28205
18.9873	1.28205
19.2405	1.28205
19.4937	1.28205
19.7468	1.28205
20	100
