CPValue	Delta T

-10	100
0.125786	0.632911
0.251572	0.632911
0.377358	0.632911
0.503145	0.632911
0.628931	0.632911
0.754717	0.632911
0.880503	0.632911
1.00629	0.632911
1.13208	0.632911
1.25786	0.632911
1.38365	0.632911
1.50943	0.632911
1.63522	0.632911
1.76101	0.632911
1.88679	0.632911
2.01258	0.632911
2.13836	0.632911
2.26415	0.632911
2.38994	0.632911
2.51572	0.632911
2.64151	0.632911
2.7673	0.632911
2.89308	0.632911
3.01887	0.632911
3.14465	0.632911
3.27044	0.632911
3.39623	0.632911
3.52201	0.632911
3.6478	0.632911
3.77358	0.632911
3.89937	0.632911
4.02516	0.632911
4.15094	0.632911
4.27673	0.632911
4.40252	0.632911
4.5283	0.632911
4.65409	0.632911
4.77987	0.632911
4.90566	0.632911
5.03145	0.632911
5.15723	0.632911
5.28302	0.632911
5.40881	0.632911
5.53459	0.632911
5.66038	0.632911
5.78616	0.632911
5.91195	0.632911
6.03774	0.632911
6.16352	0.632911
6.28931	0.632911
6.41509	0.632911
6.54088	0.632911
6.66667	0.632911
6.79245	0.632911
6.91824	0.632911
7.04403	0.632911
7.16981	0.632911
7.2956	0.632911
7.42138	0.632911
7.54717	0.632911
7.67296	0.632911
7.79874	0.632911
7.92453	0.632911
8.05031	0.632911
8.1761	0.632911
8.30189	0.632911
8.42767	0.632911
8.55346	0.632911
8.67925	0.632911
8.80503	0.632911
8.93082	0.632911
9.0566	0.632911
9.18239	0.632911
9.30818	0.632911
9.43396	0.632911
9.55975	0.632911
9.68553	0.632911
9.81132	0.632911
9.93711	0.632911
10.0629	0.632911
10.1887	0.632911
10.3145	0.632911
10.4403	0.632911
10.566	0.632911
10.6918	0.632911
10.8176	0.632911
10.9434	0.632911
11.0692	0.632911
11.195	0.632911
11.3208	0.632911
11.4465	0.632911
11.5723	0.632911
11.6981	0.632911
11.8239	0.632911
11.9497	0.632911
12.0755	0.632911
12.2013	0.632911
12.327	0.632911
12.4528	0.632911
12.5786	0.632911
12.7044	0.632911
12.8302	0.632911
12.956	0.632911
13.0818	0.632911
13.2075	0.632911
13.3333	0.632911
13.4591	0.632911
13.5849	0.632911
13.7107	0.632911
13.8365	0.632911
13.9623	0.632911
14.0881	0.632911
14.2138	0.632911
14.3396	0.632911
14.4654	0.632911
14.5912	0.632911
14.717	0.632911
14.8428	0.632911
14.9686	0.632911
15.0943	0.632911
15.2201	0.632911
15.3459	0.632911
15.4717	0.632911
15.5975	0.632911
15.7233	0.632911
15.8491	0.632911
15.9748	0.632911
16.1006	0.632911
16.2264	0.632911
16.3522	0.632911
16.478	0.632911
16.6038	0.632911
16.7296	0.632911
16.8553	0.632911
16.9811	0.632911
17.1069	0.632911
17.2327	0.632911
17.3585	0.632911
17.4843	0.632911
17.6101	0.632911
17.7358	0.632911
17.8616	0.632911
17.9874	0.632911
18.1132	0.632911
18.239	0.632911
18.3648	0.632911
18.4906	0.632911
18.6164	0.632911
18.7421	0.632911
18.8679	0.632911
18.9937	0.632911
19.1195	0.632911
19.2453	0.632911
19.3711	0.632911
19.4969	0.632911
19.6226	0.632911
19.7484	0.632911
19.8742	0.632911
20	100
