CPValue	Delta T

-10	100
0.0156372	7.82473
0.0312744	7.82473
0.0469116	7.82473
0.0625489	7.82473
0.0781861	7.82473
0.0938233	7.82473
0.109461	7.82473
0.125098	7.82473
0.140735	7.82473
0.156372	7.82473
0.172009	7.82473
0.187647	7.82473
0.203284	7.82473
0.218921	7.82473
0.234558	7.82473
0.250195	7.82473
0.265833	7.82473
0.28147	7.82473
0.297107	7.82473
0.312744	7.82473
0.328382	7.82473
0.344019	7.82473
0.359656	7.82473
0.375293	7.82473
0.39093	7.82473
0.406568	7.82473
0.422205	7.82473
0.437842	7.82473
0.453479	7.82473
0.469116	7.82473
0.484754	7.82473
0.500391	7.82473
0.516028	7.82473
0.531665	7.82473
0.547303	7.82473
0.56294	7.82473
0.578577	7.82473
0.594214	7.82473
0.609851	7.82473
0.625489	7.82473
0.641126	7.82473
0.656763	7.82473
0.6724	7.82473
0.688038	7.82473
0.703675	7.82473
0.719312	7.82473
0.734949	7.82473
0.750586	7.82473
0.766224	7.82473
0.781861	7.82473
0.797498	7.82473
0.813135	7.82473
0.828772	7.82473
0.84441	7.82473
0.860047	7.82473
0.875684	7.82473
0.891321	7.82473
0.906959	7.82473
0.922596	7.82473
0.938233	7.82473
0.95387	7.82473
0.969507	7.82473
0.985145	7.82473
1.00078	7.82473
1.01642	7.82473
1.03206	7.82473
1.04769	7.82473
1.06333	7.82473
1.07897	7.82473
1.09461	7.82473
1.11024	7.82473
1.12588	7.82473
1.14152	7.82473
1.15715	7.82473
1.17279	7.82473
1.18843	7.82473
1.20407	7.82473
1.2197	7.82473
1.23534	7.82473
1.25098	7.82473
1.26661	7.82473
1.28225	7.82473
1.29789	7.82473
1.31353	7.82473
1.32916	7.82473
1.3448	7.82473
1.36044	7.82473
1.37608	7.82473
1.39171	7.82473
1.40735	7.82473
1.42299	7.82473
1.43862	7.82473
1.45426	7.82473
1.4699	7.82473
1.48554	7.82473
1.50117	7.82473
1.51681	7.82473
1.53245	7.82473
1.54808	7.82473
1.56372	7.82473
1.57936	7.82473
1.595	7.82473
1.61063	7.82473
1.62627	7.82473
1.64191	7.82473
1.65754	7.82473
1.67318	7.82473
1.68882	7.82473
1.70446	7.82473
1.72009	7.82473
1.73573	7.82473
1.75137	7.82473
1.76701	7.82473
1.78264	7.82473
1.79828	7.82473
1.81392	7.82473
1.82955	7.82473
1.84519	7.82473
1.86083	7.82473
1.87647	7.82473
1.8921	7.82473
1.90774	7.82473
1.92338	7.82473
1.93901	7.82473
1.95465	7.82473
1.97029	7.82473
1.98593	7.82473
2.00156	7.82473
2.0172	7.82473
2.03284	7.82473
2.04848	7.82473
2.06411	7.82473
2.07975	7.82473
2.09539	7.82473
2.11102	7.82473
2.12666	7.82473
2.1423	7.82473
2.15794	7.82473
2.17357	7.82473
2.18921	7.82473
2.20485	7.82473
2.22048	7.82473
2.23612	7.82473
2.25176	7.82473
2.2674	7.82473
2.28303	7.82473
2.29867	7.82473
2.31431	7.82473
2.32995	7.82473
2.34558	7.82473
2.36122	7.82473
2.37686	7.82473
2.39249	7.82473
2.40813	7.82473
2.42377	7.82473
