CPValue	Delta T

-10	100
0.0626959	31.4465
0.125392	31.4465
0.188088	31.4465
0.250784	31.4465
0.31348	31.4465
0.376176	31.4465
0.438871	31.4465
0.501567	31.4465
0.564263	31.4465
0.626959	31.4465
0.689655	31.4465
0.752351	31.4465
0.815047	31.4465
0.877743	31.4465
0.940439	31.4465
1.00313	31.4465
1.06583	31.4465
1.12853	31.4465
1.19122	31.4465
1.25392	31.4465
1.31661	31.4465
1.37931	31.4465
1.44201	31.4465
1.5047	31.4465
1.5674	31.4465
1.63009	31.4465
1.69279	31.4465
1.75549	31.4465
1.81818	31.4465
1.88088	31.4465
1.94357	31.4465
2.00627	31.4465
2.06897	31.4465
2.13166	31.4465
2.19436	31.4465
2.25705	31.4465
2.31975	31.4465
2.38245	31.4465
2.44514	31.4465
2.50784	31.4465
2.57053	31.4465
2.63323	31.4465
2.69592	31.4465
2.75862	31.4465
2.82132	31.4465
2.88401	31.4465
2.94671	31.4465
3.0094	31.4465
3.0721	31.4465
3.1348	31.4465
3.19749	31.4465
3.26019	31.4465
3.32288	31.4465
3.38558	31.4465
3.44828	31.4465
3.51097	31.4465
3.57367	31.4465
3.63636	31.4465
3.69906	31.4465
3.76176	31.4465
3.82445	31.4465
3.88715	31.4465
3.94984	31.4465
4.01254	31.4465
4.07524	31.4465
4.13793	31.4465
4.20063	31.4465
4.26332	31.4465
4.32602	31.4465
4.38871	31.4465
4.45141	31.4465
4.51411	31.4465
4.5768	31.4465
4.6395	31.4465
4.70219	31.4465
4.76489	31.4465
4.82759	31.4465
4.89028	31.4465
4.95298	31.4465
5.01567	31.4465
5.07837	31.4465
5.14107	31.4465
5.20376	31.4465
5.26646	31.4465
5.32915	31.4465
5.39185	31.4465
5.45455	31.4465
5.51724	31.4465
5.57994	31.4465
5.64263	31.4465
5.70533	31.4465
5.76803	31.4465
5.83072	31.4465
5.89342	31.4465
5.95611	31.4465
6.01881	31.4465
6.0815	31.4465
6.1442	31.4465
6.2069	31.4465
6.26959	31.4465
6.33229	31.4465
6.39498	31.4465
6.45768	31.4465
6.52038	31.4465
6.58307	31.4465
6.64577	31.4465
6.70846	31.4465
6.77116	31.4465
6.83386	31.4465
6.89655	31.4465
6.95925	31.4465
7.02194	31.4465
7.08464	31.4465
7.14734	31.4465
7.21003	31.4465
7.27273	31.4465
7.33542	31.4465
7.39812	31.4465
7.46082	31.4465
7.52351	31.4465
7.58621	31.4465
7.6489	31.4465
7.7116	31.4465
7.77429	31.4465
7.83699	31.4465
7.89969	31.4465
7.96238	31.4465
8.02508	31.4465
8.08777	31.4465
8.15047	31.4465
8.21317	31.4465
8.27586	31.4465
8.33856	31.4465
8.40125	31.4465
8.46395	31.4465
8.52665	31.4465
8.58934	31.4465
8.65204	31.4465
8.71473	31.4465
8.77743	31.4465
8.84013	31.4465
8.90282	31.4465
8.96552	31.4465
9.02821	31.4465
9.09091	31.4465
9.15361	31.4465
9.2163	31.4465
9.279	31.4465
9.34169	31.4465
9.40439	31.4465
9.46708	31.4465
9.52978	31.4465
9.59248	31.4465
9.65517	31.4465
9.71787	31.4465
9.78056	31.4465
