CPValue	Delta T

-10	100
0.512821	2631.58
1.02564	2631.58
1.53846	2631.58
2.05128	2631.58
2.5641	2631.58
3.07692	2631.58
3.58974	2631.58
4.10256	2631.58
4.61538	2631.58
5.12821	2631.58
5.64103	2631.58
6.15385	2631.58
6.66667	2631.58
7.17949	2631.58
7.69231	2631.58
8.20513	2631.58
8.71795	2631.58
9.23077	2631.58
9.74359	2631.58
10.2564	2631.58
10.7692	2631.58
11.2821	2631.58
11.7949	2631.58
12.3077	2631.58
12.8205	2631.58
13.3333	2631.58
13.8462	2631.58
14.359	2631.58
14.8718	2631.58
15.3846	2631.58
15.8974	2631.58
16.4103	2631.58
16.9231	2631.58
17.4359	2631.58
17.9487	2631.58
18.4615	2631.58
18.9744	2631.58
19.4872	2631.58
20	100
