CPValue	Delta T

-10	100
0.512821	2.63158
1.02564	2.63158
1.53846	2.63158
2.05128	2.63158
2.5641	2.63158
3.07692	2.63158
3.58974	2.63158
4.10256	2.63158
4.61538	2.63158
5.12821	2.63158
5.64103	2.63158
6.15385	2.63158
6.66667	2.63158
7.17949	2.63158
7.69231	2.63158
8.20513	2.63158
8.71795	2.63158
9.23077	2.63158
9.74359	2.63158
10.2564	2.63158
10.7692	2.63158
11.2821	2.63158
11.7949	2.63158
12.3077	2.63158
12.8205	2.63158
13.3333	2.63158
13.8462	2.63158
14.359	2.63158
14.8718	2.63158
15.3846	2.63158
15.8974	2.63158
16.4103	2.63158
16.9231	2.63158
17.4359	2.63158
17.9487	2.63158
18.4615	2.63158
18.9744	2.63158
19.4872	2.63158
20	100
