CPValue	Delta T

-10	100
0.125786	632.911
0.251572	632.911
0.377358	632.911
0.503145	632.911
0.628931	632.911
0.754717	632.911
0.880503	632.911
1.00629	632.911
1.13208	632.911
1.25786	632.911
1.38365	632.911
1.50943	632.911
1.63522	632.911
1.76101	632.911
1.88679	632.911
2.01258	632.911
2.13836	632.911
2.26415	632.911
2.38994	632.911
2.51572	632.911
2.64151	632.911
2.7673	632.911
2.89308	632.911
3.01887	632.911
3.14465	632.911
3.27044	632.911
3.39623	632.911
3.52201	632.911
3.6478	632.911
3.77358	632.911
3.89937	632.911
4.02516	632.911
4.15094	632.911
4.27673	632.911
4.40252	632.911
4.5283	632.911
4.65409	632.911
4.77987	632.911
4.90566	632.911
5.03145	632.911
5.15723	632.911
5.28302	632.911
5.40881	632.911
5.53459	632.911
5.66038	632.911
5.78616	632.911
5.91195	632.911
6.03774	632.911
6.16352	632.911
6.28931	632.911
6.41509	632.911
6.54088	632.911
6.66667	632.911
6.79245	632.911
6.91824	632.911
7.04403	632.911
7.16981	632.911
7.2956	632.911
7.42138	632.911
7.54717	632.911
7.67296	632.911
7.79874	632.911
7.92453	632.911
8.05031	632.911
8.1761	632.911
8.30189	632.911
8.42767	632.911
8.55346	632.911
8.67925	632.911
8.80503	632.911
8.93082	632.911
9.0566	632.911
9.18239	632.911
9.30818	632.911
9.43396	632.911
9.55975	632.911
9.68553	632.911
9.81132	632.911
9.93711	632.911
10.0629	632.911
10.1887	632.911
10.3145	632.911
10.4403	632.911
10.566	632.911
10.6918	632.911
10.8176	632.911
10.9434	632.911
11.0692	632.911
11.195	632.911
11.3208	632.911
11.4465	632.911
11.5723	632.911
11.6981	632.911
11.8239	632.911
11.9497	632.911
12.0755	632.911
12.2013	632.911
12.327	632.911
12.4528	632.911
12.5786	632.911
12.7044	632.911
12.8302	632.911
12.956	632.911
13.0818	632.911
13.2075	632.911
13.3333	632.911
13.4591	632.911
13.5849	632.911
13.7107	632.911
13.8365	632.911
13.9623	632.911
14.0881	632.911
14.2138	632.911
14.3396	632.911
14.4654	632.911
14.5912	632.911
14.717	632.911
14.8428	632.911
14.9686	632.911
15.0943	632.911
15.2201	632.911
15.3459	632.911
15.4717	632.911
15.5975	632.911
15.7233	632.911
15.8491	632.911
15.9748	632.911
16.1006	632.911
16.2264	632.911
16.3522	632.911
16.478	632.911
16.6038	632.911
16.7296	632.911
16.8553	632.911
16.9811	632.911
17.1069	632.911
17.2327	632.911
17.3585	632.911
17.4843	632.911
17.6101	632.911
17.7358	632.911
17.8616	632.911
17.9874	632.911
18.1132	632.911
18.239	632.911
18.3648	632.911
18.4906	632.911
18.6164	632.911
18.7421	632.911
18.8679	632.911
18.9937	632.911
19.1195	632.911
19.2453	632.911
19.3711	632.911
19.4969	632.911
19.6226	632.911
19.7484	632.911
19.8742	632.911
20	100
