CPValue	Delta T

-10	100
0.512821	26.3158
1.02564	26.3158
1.53846	26.3158
2.05128	26.3158
2.5641	26.3158
3.07692	26.3158
3.58974	26.3158
4.10256	26.3158
4.61538	26.3158
5.12821	26.3158
5.64103	26.3158
6.15385	26.3158
6.66667	26.3158
7.17949	26.3158
7.69231	26.3158
8.20513	26.3158
8.71795	26.3158
9.23077	26.3158
9.74359	26.3158
10.2564	26.3158
10.7692	26.3158
11.2821	26.3158
11.7949	26.3158
12.3077	26.3158
12.8205	26.3158
13.3333	26.3158
13.8462	26.3158
14.359	26.3158
14.8718	26.3158
15.3846	26.3158
15.8974	26.3158
16.4103	26.3158
16.9231	26.3158
17.4359	26.3158
17.9487	26.3158
18.4615	26.3158
18.9744	26.3158
19.4872	26.3158
20	100
