CPValue	Delta T

-10	100
0.125786	63.2911
0.251572	63.2911
0.377358	63.2911
0.503145	63.2911
0.628931	63.2911
0.754717	63.2911
0.880503	63.2911
1.00629	63.2911
1.13208	63.2911
1.25786	63.2911
1.38365	63.2911
1.50943	63.2911
1.63522	63.2911
1.76101	63.2911
1.88679	63.2911
2.01258	63.2911
2.13836	63.2911
2.26415	63.2911
2.38994	63.2911
2.51572	63.2911
2.64151	63.2911
2.7673	63.2911
2.89308	63.2911
3.01887	63.2911
3.14465	63.2911
3.27044	63.2911
3.39623	63.2911
3.52201	63.2911
3.6478	63.2911
3.77358	63.2911
3.89937	63.2911
4.02516	63.2911
4.15094	63.2911
4.27673	63.2911
4.40252	63.2911
4.5283	63.2911
4.65409	63.2911
4.77987	63.2911
4.90566	63.2911
5.03145	63.2911
5.15723	63.2911
5.28302	63.2911
5.40881	63.2911
5.53459	63.2911
5.66038	63.2911
5.78616	63.2911
5.91195	63.2911
6.03774	63.2911
6.16352	63.2911
6.28931	63.2911
6.41509	63.2911
6.54088	63.2911
6.66667	63.2911
6.79245	63.2911
6.91824	63.2911
7.04403	63.2911
7.16981	63.2911
7.2956	63.2911
7.42138	63.2911
7.54717	63.2911
7.67296	63.2911
7.79874	63.2911
7.92453	63.2911
8.05031	63.2911
8.1761	63.2911
8.30189	63.2911
8.42767	63.2911
8.55346	63.2911
8.67925	63.2911
8.80503	63.2911
8.93082	63.2911
9.0566	63.2911
9.18239	63.2911
9.30818	63.2911
9.43396	63.2911
9.55975	63.2911
9.68553	63.2911
9.81132	63.2911
9.93711	63.2911
10.0629	63.2911
10.1887	63.2911
10.3145	63.2911
10.4403	63.2911
10.566	63.2911
10.6918	63.2911
10.8176	63.2911
10.9434	63.2911
11.0692	63.2911
11.195	63.2911
11.3208	63.2911
11.4465	63.2911
11.5723	63.2911
11.6981	63.2911
11.8239	63.2911
11.9497	63.2911
12.0755	63.2911
12.2013	63.2911
12.327	63.2911
12.4528	63.2911
12.5786	63.2911
12.7044	63.2911
12.8302	63.2911
12.956	63.2911
13.0818	63.2911
13.2075	63.2911
13.3333	63.2911
13.4591	63.2911
13.5849	63.2911
13.7107	63.2911
13.8365	63.2911
13.9623	63.2911
14.0881	63.2911
14.2138	63.2911
14.3396	63.2911
14.4654	63.2911
14.5912	63.2911
14.717	63.2911
14.8428	63.2911
14.9686	63.2911
15.0943	63.2911
15.2201	63.2911
15.3459	63.2911
15.4717	63.2911
15.5975	63.2911
15.7233	63.2911
15.8491	63.2911
15.9748	63.2911
16.1006	63.2911
16.2264	63.2911
16.3522	63.2911
16.478	63.2911
16.6038	63.2911
16.7296	63.2911
16.8553	63.2911
16.9811	63.2911
17.1069	63.2911
17.2327	63.2911
17.3585	63.2911
17.4843	63.2911
17.6101	63.2911
17.7358	63.2911
17.8616	63.2911
17.9874	63.2911
18.1132	63.2911
18.239	63.2911
18.3648	63.2911
18.4906	63.2911
18.6164	63.2911
18.7421	63.2911
18.8679	63.2911
18.9937	63.2911
19.1195	63.2911
19.2453	63.2911
19.3711	63.2911
19.4969	63.2911
19.6226	63.2911
19.7484	63.2911
19.8742	63.2911
20	100
