CPValue	Delta T

-10	100
0.512821	263.158
1.02564	263.158
1.53846	263.158
2.05128	263.158
2.5641	263.158
3.07692	263.158
3.58974	263.158
4.10256	263.158
4.61538	263.158
5.12821	263.158
5.64103	263.158
6.15385	263.158
6.66667	263.158
7.17949	263.158
7.69231	263.158
8.20513	263.158
8.71795	263.158
9.23077	263.158
9.74359	263.158
10.2564	263.158
10.7692	263.158
11.2821	263.158
11.7949	263.158
12.3077	263.158
12.8205	263.158
13.3333	263.158
13.8462	263.158
14.359	263.158
14.8718	263.158
15.3846	263.158
15.8974	263.158
16.4103	263.158
16.9231	263.158
17.4359	263.158
17.9487	263.158
18.4615	263.158
18.9744	263.158
19.4872	263.158
20	100
