CPValue	Delta T

-10	100
0.0156372	78.2473
0.0312744	78.2473
0.0469116	78.2473
0.0625489	78.2473
0.0781861	78.2473
0.0938233	78.2473
0.109461	78.2473
0.125098	78.2473
0.140735	78.2473
0.156372	78.2473
0.172009	78.2473
0.187647	78.2473
0.203284	78.2473
0.218921	78.2473
0.234558	78.2473
0.250195	78.2473
0.265833	78.2473
0.28147	78.2473
0.297107	78.2473
0.312744	78.2473
0.328382	78.2473
0.344019	78.2473
0.359656	78.2473
0.375293	78.2473
0.39093	78.2473
0.406568	78.2473
0.422205	78.2473
0.437842	78.2473
0.453479	78.2473
0.469116	78.2473
0.484754	78.2473
0.500391	78.2473
0.516028	78.2473
0.531665	78.2473
0.547303	78.2473
0.56294	78.2473
0.578577	78.2473
0.594214	78.2473
0.609851	78.2473
0.625489	78.2473
0.641126	78.2473
0.656763	78.2473
0.6724	78.2473
0.688038	78.2473
0.703675	78.2473
0.719312	78.2473
0.734949	78.2473
0.750586	78.2473
0.766224	78.2473
0.781861	78.2473
0.797498	78.2473
0.813135	78.2473
0.828772	78.2473
0.84441	78.2473
0.860047	78.2473
0.875684	78.2473
0.891321	78.2473
0.906959	78.2473
0.922596	78.2473
0.938233	78.2473
0.95387	78.2473
0.969507	78.2473
0.985145	78.2473
1.00078	78.2473
1.01642	78.2473
1.03206	78.2473
1.04769	78.2473
1.06333	78.2473
1.07897	78.2473
1.09461	78.2473
1.11024	78.2473
1.12588	78.2473
1.14152	78.2473
1.15715	78.2473
1.17279	78.2473
1.18843	78.2473
1.20407	78.2473
1.2197	78.2473
1.23534	78.2473
1.25098	78.2473
1.26661	78.2473
1.28225	78.2473
1.29789	78.2473
1.31353	78.2473
1.32916	78.2473
1.3448	78.2473
1.36044	78.2473
1.37608	78.2473
1.39171	78.2473
1.40735	78.2473
1.42299	78.2473
1.43862	78.2473
1.45426	78.2473
1.4699	78.2473
1.48554	78.2473
1.50117	78.2473
1.51681	78.2473
1.53245	78.2473
1.54808	78.2473
1.56372	78.2473
1.57936	78.2473
1.595	78.2473
1.61063	78.2473
1.62627	78.2473
1.64191	78.2473
1.65754	78.2473
1.67318	78.2473
1.68882	78.2473
1.70446	78.2473
1.72009	78.2473
1.73573	78.2473
1.75137	78.2473
1.76701	78.2473
1.78264	78.2473
1.79828	78.2473
1.81392	78.2473
1.82955	78.2473
1.84519	78.2473
1.86083	78.2473
1.87647	78.2473
1.8921	78.2473
1.90774	78.2473
1.92338	78.2473
1.93901	78.2473
1.95465	78.2473
1.97029	78.2473
1.98593	78.2473
2.00156	78.2473
2.0172	78.2473
2.03284	78.2473
2.04848	78.2473
2.06411	78.2473
2.07975	78.2473
2.09539	78.2473
2.11102	78.2473
2.12666	78.2473
2.1423	78.2473
2.15794	78.2473
2.17357	78.2473
2.18921	78.2473
2.20485	78.2473
2.22048	78.2473
2.23612	78.2473
2.25176	78.2473
2.2674	78.2473
2.28303	78.2473
2.29867	78.2473
2.31431	78.2473
2.32995	78.2473
2.34558	78.2473
2.36122	78.2473
2.37686	78.2473
2.39249	78.2473
2.40813	78.2473
2.42377	78.2473
