CPValue	Delta T

-10	100
0.125786	6.32911
0.251572	6.32911
0.377358	6.32911
0.503145	6.32911
0.628931	6.32911
0.754717	6.32911
0.880503	6.32911
1.00629	6.32911
1.13208	6.32911
1.25786	6.32911
1.38365	6.32911
1.50943	6.32911
1.63522	6.32911
1.76101	6.32911
1.88679	6.32911
2.01258	6.32911
2.13836	6.32911
2.26415	6.32911
2.38994	6.32911
2.51572	6.32911
2.64151	6.32911
2.7673	6.32911
2.89308	6.32911
3.01887	6.32911
3.14465	6.32911
3.27044	6.32911
3.39623	6.32911
3.52201	6.32911
3.6478	6.32911
3.77358	6.32911
3.89937	6.32911
4.02516	6.32911
4.15094	6.32911
4.27673	6.32911
4.40252	6.32911
4.5283	6.32911
4.65409	6.32911
4.77987	6.32911
4.90566	6.32911
5.03145	6.32911
5.15723	6.32911
5.28302	6.32911
5.40881	6.32911
5.53459	6.32911
5.66038	6.32911
5.78616	6.32911
5.91195	6.32911
6.03774	6.32911
6.16352	6.32911
6.28931	6.32911
6.41509	6.32911
6.54088	6.32911
6.66667	6.32911
6.79245	6.32911
6.91824	6.32911
7.04403	6.32911
7.16981	6.32911
7.2956	6.32911
7.42138	6.32911
7.54717	6.32911
7.67296	6.32911
7.79874	6.32911
7.92453	6.32911
8.05031	6.32911
8.1761	6.32911
8.30189	6.32911
8.42767	6.32911
8.55346	6.32911
8.67925	6.32911
8.80503	6.32911
8.93082	6.32911
9.0566	6.32911
9.18239	6.32911
9.30818	6.32911
9.43396	6.32911
9.55975	6.32911
9.68553	6.32911
9.81132	6.32911
9.93711	6.32911
10.0629	6.32911
10.1887	6.32911
10.3145	6.32911
10.4403	6.32911
10.566	6.32911
10.6918	6.32911
10.8176	6.32911
10.9434	6.32911
11.0692	6.32911
11.195	6.32911
11.3208	6.32911
11.4465	6.32911
11.5723	6.32911
11.6981	6.32911
11.8239	6.32911
11.9497	6.32911
12.0755	6.32911
12.2013	6.32911
12.327	6.32911
12.4528	6.32911
12.5786	6.32911
12.7044	6.32911
12.8302	6.32911
12.956	6.32911
13.0818	6.32911
13.2075	6.32911
13.3333	6.32911
13.4591	6.32911
13.5849	6.32911
13.7107	6.32911
13.8365	6.32911
13.9623	6.32911
14.0881	6.32911
14.2138	6.32911
14.3396	6.32911
14.4654	6.32911
14.5912	6.32911
14.717	6.32911
14.8428	6.32911
14.9686	6.32911
15.0943	6.32911
15.2201	6.32911
15.3459	6.32911
15.4717	6.32911
15.5975	6.32911
15.7233	6.32911
15.8491	6.32911
15.9748	6.32911
16.1006	6.32911
16.2264	6.32911
16.3522	6.32911
16.478	6.32911
16.6038	6.32911
16.7296	6.32911
16.8553	6.32911
16.9811	6.32911
17.1069	6.32911
17.2327	6.32911
17.3585	6.32911
17.4843	6.32911
17.6101	6.32911
17.7358	6.32911
17.8616	6.32911
17.9874	6.32911
18.1132	6.32911
18.239	6.32911
18.3648	6.32911
18.4906	6.32911
18.6164	6.32911
18.7421	6.32911
18.8679	6.32911
18.9937	6.32911
19.1195	6.32911
19.2453	6.32911
19.3711	6.32911
19.4969	6.32911
19.6226	6.32911
19.7484	6.32911
19.8742	6.32911
20	100
